x0000,y0000,x0001,y0001
1.369911285,-100.1308674,1.369911285,-36.86749924,
1.670941281,-95.38811847,1.670941281,-36.29467707,
1.84703254,-74.59345405,1.84703254,-21.99912394,
1.971971276,-67.5165331,1.971971276,-14.76777243,
2.068881289,-69.59342036,2.068881289,-16.84397004,
2.148062535,-81.8903,2.148062535,-29.07373464,
2.215009325,-118.4675057,2.215009325,-64.09071902,
2.273001272,-116.4680587,2.273001272,-71.52499923,
2.324153795,-118.7017841,2.324153795,-73.05144927,
2.369911285,-123.2038742,2.369911285,-81.64700608,
2.41130397,-114.8018849,2.41130397,-67.04093285,
2.449092531,-102.0140519,2.449092531,-53.96386746,
2.483854637,-99.27435331,2.483854637,-50.96177471,
2.516039321,-106.0293256,2.516039321,-57.44794007,
2.546002544,-130.1529231,2.546002544,-73.94673599,
2.574031268,-126.5210927,2.574031268,-83.2175858,
2.600360206,-128.4910794,2.600360206,-80.48666209,
2.62518379,-135.1126345,2.62518379,-82.06447193,
2.648664886,-127.0457116,2.648664886,-81.99568021,
2.670941281,-112.594601,2.670941281,-66.97466977,
2.69213058,-105.6271914,2.69213058,-59.65744287,
2.712333966,-107.3937622,2.712333966,-61.5796343,
2.731639121,-119.9290254,2.731639121,-74.0845965,
2.750122527,-141.0557093,2.750122527,-87.54392149,
2.767851294,-122.7995104,2.767851294,-84.2113991,
2.784884633,-120.2035547,2.784884633,-85.08052177,
2.801275049,-128.8125035,2.801275049,-91.89879916,
2.817069316,-123.7696435,2.817069316,-78.40904811,
2.832309283,-110.19267,2.832309283,-64.40795993,
2.84703254,-106.6983302,2.84703254,-61.11809864,
2.861272979,-109.7997492,2.861272979,-66.06100705,
2.875061263,-113.2202863,2.875061263,-76.26934143,
2.888425225,-119.1992645,2.888425225,-84.57071326,
2.901390202,-154.459611,2.901390202,-83.84026864,
2.913979329,-133.5729691,2.913979329,-85.93995597,
2.926213786,-131.5370291,2.926213786,-93.53548694,
2.938113009,-121.7030183,2.938113009,-76.80695661,
2.949694882,-114.6249897,2.949694882,-68.40902604,
2.960975892,-116.2543976,2.960975892,-69.44143712,
2.971971276,-131.3547725,2.971971276,-81.06312165,
2.982695142,-126.6069703,2.982695142,-89.51128015,
2.993160575,-118.8303028,2.993160575,-81.13029119,
